Capability,VTAC TRIAL,VTAC SEMI-PRO,VTAC SINGLE,VTAC MULTI-TEAM,VTAC ENTERPRISE
Scale (Team Count),3 Players,12 Players,1 Team,2 - 20 Teams,20 - 50+ Teams
Max Members per Team,3 Members,12 Members,Up to 20,Up to 25,Scalable
Staff Structure,1 Coach + 1 Manager,1 Coach + 1 Manager,1 Coach + 1 Manager,1 Coach + 2 Assistants + 1 Manager,Full Organizational Structure
Strategy Board,Included,Included,Included,Included,Included
Interactive Tactical Engine,Limited,Limited,Standard Interactive,Standard Interactive,Club Theme Custom
AI Connector,-,-,Integrated,Integrated,Included
Training with AI Squad,-,-,-,Included,Included
Digital CV (Portfolios),-,-,Included (Isolated),Included (Isolated),Included (Full Portability)
Custom Branding,-,-,VTAC Standard,VTAC Standard,Included
Support Level,-,Standard,Standard,Standard,Priority / Dedicated
